ID,Date,Reason for Absence,Transportation Expense,Distance to Work,Age,Body Mass Index,Education,Children,Pets
1,2015-07-06,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-07,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-08,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-09,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-10,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-11,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-12,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-13,22.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-14,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-15,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-16,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-17,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-18,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-19,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-20,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-21,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-22,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-23,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-24,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-25,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-26,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-27,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-28,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-29,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-30,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-07-31,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-01,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-02,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-03,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-04,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-05,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-06,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-07,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-08,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-09,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-10,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-11,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-12,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-13,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-14,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-15,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-16,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-17,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-18,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-19,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-20,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-21,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-22,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-23,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-24,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-25,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-26,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-27,23.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
1,2015-08-28,0.0,235.0,11.0,37.0,29.0,3.0,1.0,1.0
